epoch,batch,train_loss,train_accuracy
3.0,309.0,1.063575,0.78125
3.0,310.0,1.0730054,0.71875
3.0,311.0,1.0513822,0.78125
3.0,312.0,1.5181532,0.5625
3.0,313.0,1.2616795,0.5625
3.0,314.0,0.8025588,0.8125
3.0,315.0,0.6823165,0.84375
3.0,316.0,1.0241822,0.78125
3.0,317.0,0.71227217,0.8125
3.0,318.0,1.1003422,0.71875
3.0,319.0,0.7387412,0.78125
3.0,320.0,0.72342294,0.78125
3.0,321.0,0.984134,0.6875
3.0,322.0,1.0573162,0.75
3.0,323.0,0.89453554,0.75
3.0,324.0,0.769273,0.84375
3.0,325.0,1.0604028,0.75
3.0,326.0,1.2595032,0.71875
3.0,327.0,1.0242517,0.6875
3.0,328.0,0.81500095,0.84375
3.0,329.0,0.5026552,0.875
3.0,330.0,1.053505,0.75
3.0,331.0,0.70371056,0.8125
3.0,332.0,0.97934985,0.71875
3.0,333.0,1.0438086,0.6875
3.0,334.0,0.9021099,0.78125
3.0,335.0,1.0560906,0.71875
3.0,336.0,1.3878906,0.625
3.0,337.0,0.70690864,0.84375
3.0,338.0,0.943004,0.75
3.0,339.0,0.8395556,0.8125
3.0,340.0,0.83051676,0.78125
3.0,341.0,0.96388674,0.71875
3.0,342.0,1.0681653,0.6875
3.0,343.0,1.1260543,0.71875
3.0,344.0,0.8619438,0.8125
3.0,345.0,0.7718329,0.71875
3.0,346.0,0.6776759,0.875
3.0,347.0,0.9502263,0.71875
3.0,348.0,0.8392482,0.78125
3.0,349.0,0.7463717,0.84375
3.0,350.0,0.8857168,0.71875
3.0,351.0,0.8374317,0.875
3.0,352.0,0.9301546,0.71875
3.0,353.0,0.81692415,0.78125
3.0,354.0,0.6248266,0.875
3.0,355.0,0.9954665,0.75
3.0,356.0,0.7614309,0.8125
3.0,357.0,0.8726806,0.84375
3.0,358.0,0.73128027,0.90625
3.0,359.0,0.9989166,0.71875
3.0,360.0,0.9025764,0.75
3.0,361.0,1.0330375,0.71875
3.0,362.0,0.734106,0.875
3.0,363.0,0.8698919,0.8125
3.0,364.0,0.86769897,0.75
3.0,365.0,0.9007076,0.78125
3.0,366.0,1.289847,0.65625
3.0,367.0,0.9194145,0.8125
3.0,368.0,1.036469,0.78125
3.0,369.0,0.66252863,0.8125
3.0,370.0,0.9561421,0.6875
3.0,371.0,0.6710901,0.875
3.0,372.0,0.5471956,0.90625
3.0,373.0,0.7297803,0.78125
3.0,374.0,1.137342,0.6875
3.0,375.0,1.0516711,0.71875
3.0,376.0,1.1196381,0.75
3.0,377.0,1.2159297,0.65625
3.0,378.0,1.0885448,0.65625
3.0,379.0,0.88135225,0.84375
3.0,380.0,0.88697696,0.75
3.0,381.0,0.9853018,0.84375
3.0,382.0,1.0322125,0.71875
3.0,383.0,0.85820246,0.78125
3.0,384.0,0.94820964,0.8125
3.0,385.0,0.857967,0.84375
3.0,386.0,0.94040567,0.75
3.0,387.0,0.87222505,0.71875
3.0,388.0,0.73623055,0.78125
3.0,389.0,0.56013846,0.78125
3.0,390.0,0.72954094,0.84375
3.0,391.0,0.7783493,0.75
3.0,392.0,0.903009,0.78125
3.0,393.0,0.84121317,0.84375
3.0,394.0,0.80146885,0.8125
3.0,395.0,1.0040436,0.59375
3.0,396.0,0.6373696,0.8125
